value,position,phase,recall_prob
24,7,film,0.13214285671710968
24,8,film,0.136428564786911
24,9,film,0.13579365611076355
24,10,film,0.13587301969528198
24,11,film,0.1326984167098999
24,12,film,0.13174603879451752
24,13,film,0.1366666704416275
24,14,film,0.1461111158132553
24,15,film,0.13746032118797302
24,16,film,0.1371428519487381
24,17,interference,0.1316666603088379
24,18,interference,0.12412698566913605
24,19,interference,0.12190476059913635
24,20,interference,0.11833333224058151
24,21,interference,0.12611110508441925
24,22,interference,0.12555555999279022
24,23,interference,0.12666666507720947
24,24,interference,0.11722221970558167
24,25,interference,0.12158729881048203
24,26,interference,0.12380952388048172
24,27,interference,0.12134920805692673
24,28,interference,0.11547619104385376
24,29,interference,0.1192857176065445
24,30,interference,0.11674603074789047
24,31,interference,0.12396825104951859
24,32,interference,0.1269841343164444
28,1,film,0.25579366087913513
28,2,film,0.1949206292629242
28,3,film,0.168174609541893
28,4,film,0.1435714215040207
28,5,film,0.1428571492433548
28,6,film,0.13674603402614594
28,7,film,0.13404761254787445
28,8,film,0.12785714864730835
28,9,film,0.12809523940086365
28,10,film,0.13333334028720856
28,11,film,0.1311904788017273
28,12,film,0.13571429252624512
28,13,film,0.13603174686431885
28,14,film,0.13507936894893646
28,15,film,0.13174603879451752
28,16,film,0.13595238327980042
28,17,interference,0.1230158731341362
28,18,interference,0.11539682745933533
28,19,interference,0.12404762208461761
28,20,interference,0.12222222238779068
28,21,interference,0.12142857164144516
28,22,interference,0.11587301641702652
28,23,interference,0.11833333224058151
28,24,interference,0.12230158597230911
28,25,interference,0.12007936835289001
28,26,interference,0.1170634925365448
28,27,interference,0.11944444477558136
28,28,interference,0.12015873193740845
28,29,interference,0.11753968149423599
28,30,interference,0.11547619104385376
28,31,interference,0.11642856895923615
28,32,interference,0.12007936835289001
32,1,film,0.2517460286617279
32,2,film,0.19182538986206055
32,3,film,0.1592063456773758
32,4,film,0.14420634508132935
32,5,film,0.13682539761066437
32,6,film,0.12634921073913574
32,7,film,0.12515872716903687
32,8,film,0.127460315823555
32,9,film,0.12341269850730896
32,10,film,0.12428571283817291
32,11,film,0.12531745433807373
32,12,film,0.12984126806259155
32,13,film,0.12452381104230881
32,14,film,0.1302381008863449
32,15,film,0.12642857432365417
32,16,film,0.12222222238779068
32,17,interference,0.11388888955116272
32,18,interference,0.11650793999433517
32,19,interference,0.11007936298847198
32,20,interference,0.11420635133981705
32,21,interference,0.11539682745933533
32,22,interference,0.11246031522750854
32,23,interference,0.11341270059347153
32,24,interference,0.11349206417798996
32,25,interference,0.11388888955116272
32,26,interference,0.10865079611539841
32,27,interference,0.115079365670681
32,28,interference,0.11253968626260757
32,29,interference,0.11293651163578033
32,30,interference,0.10730158537626266
32,31,interference,0.11301587522029877
32,32,interference,0.11253968626260757
